Author,Review
" There's something so deeply right about this movie, so true to the time depicted and so welcome in this moment; so light in its touch, so properly respectful of its characters, and so big in its spirit that the movie acquires a glow.",Mick LaSalle
" It's a funny inversion of Driving Miss Daisy, and beautifully played by both actors.",Gary Thompson
" In fact, this film allows everyone to play against their Hollywood-prescribed ""type,"" from the actors to the director, who is perhaps the most surprising revelation of them all.",Lindsey Bahr
" The casting of Mortensen and Ali is ultimately the defining difference between Green Book being a good movie and a mediocre, problematic one. Both of them are relishing the chance to play against type and opposite an equal. ",Andrew Parker
" Not only the best movie I've seen this year, but also my favorite. Definitely go see this!",Edward Douglas
" Farrelly and company take their road trip and make a middlebrow, kid-gloved entertainment committed to reminding everyone that racism is bad and that getting along with people who are different than you is way easier than you think.",Craig D. Lindsey
" Green Book is a film that instructs us in the voice of a kindergarten teacher, expecting that we'll respond like five-year-olds.",Kyle Smith
" It would be more insulting if Ali and Mortensen weren't milking the formula for all it's worth, gifting the film unearned grace with their magnetism.",Barbara VanDenburgh
" Although it traffics in endless and uninspiring racial and class stereotypes, Green Book has two pitch-perfect performances and enough laughs to make you forgive its clichéd transgressions",J. Don Birnam
" Not the deepest dive into the subject of racism, but a funny and touching depiction of an unlikely friendship, forged in a car.",Jim Slotek
" Farrelly is telling a heart-warming, comical buddy story first and foremost, and Green Book, for better or worse, feels more like a wholehearted familial embrace than a treatise on the state of race in America today.",Jordan Raup
" Simply put, Green Book is a throwback, the sort of crowd pleaser of the highest order that we all too rarely see these days.",Joey Magidson
" Thanks to the dream team of Mortensen and Ali, both giving Oscar caliber performances, audiences will be rightly cheering this hilarious and heartfelt true story of a black musician and his racist driver on a 1960's tour of the Deep South. ",Peter Travers
 Strong performances from both Ali and Mortensen make this formulaic ride hard to resist. ,Nate Adams
 It's the master class put on by Viggo Mortensen and Mahershala Ali that powers this moving and often hilarious work and gives it mass appeal.,Brian Truitt
" Even as the film navigates dangerous territory, the music and humor help with the pace.",Danielle Solzman
" Green Book feels like a relic, a film snatched from the 90's... In 2018, the film shouldn't work... yet, it does ""succeed.""",Robert Daniels
 Green Book would rather bury its head in a past that never was than to be relevant to a present it finds too unpleasant to address.,David Bax
 Viggo Mortensen and Mahershala Ali are a memorable pair of mismatched traveling companions in this very entertaining Civll Rights Era road movie.,Kevin Lally
" Genuinely warm, funny and provocative. The rare major studio film that has a palpable heart, mind and soul. It's one of the most powerful films about friendship since The Intouchables. ",Avi Offer
" It may be safe, but there's also not a false note in Green Book",Robert Kojder
 A serio-comic tonic for our toxic times. ,Roger Moore
" This is classic Golden era filmmaking, jazzy and well-produced with aspirations to entertain and enlighten.",Travis Hopson
 This wholly satisfying comedy-drama shows how racism and social class misunderstandings can be lessened with humor and warmth.,Harvey S. Karten
" In spite of its minor issues, Green Book is a rich, entertaining and frequently powerful piece bound to be embraced by audiences when its release comes. A real, unexpected triumph.",Nathan Osborne
" For the life of me, I can't see what distinguishes this from the tons of other polite Oscar dramas that came before it. We're in familiar territory here, and the formula has produced much stronger, more dynamic results than this.",Josh Martin
 A feel-good story if you are somehow able to look past the overbearing reality of today's pervading racism.,Leigh Monson
" a fruitful story between now two great friends from different worlds, full of love, adventure, tragedy and humour - a masterpiece.",Ben Rolph
 Farrelly elevates this real story from a funny anecdote to a moving and thought-provoking fable about the difficulties of being a full person in a multi-faceted world.,Manuela Lazic
" It seems like a revised Driving Miss Daisy film, appealing to the same audience.",Dennis Schwartz
" It's a mass-appeal crowd-pleaser augmented by a topical immediacy, and director Peter Farrelly (There's Something About Mary, Shallow Hal) has done a fine service to his best material in years. ",Kong Rithdee
" Effective in its aim but hardly revolutionary in its concept, Green Book follows a guidebook with the best intentions, and reaches its destination just in time for dinner.",Ella Kemp
" With the quippy dialogue and stunning cinematography from Sean Porter, Green Book is a charming and shockingly uplifting feat not just about race and friendship.",Aramide Tinubu
" The characters here deal with humiliation after humiliation, and usually, there's no ""Hollywood solution,"" like just punching your way out of danger. The danger is ever-present and all around you. Sometimes the characters have no choice but to suffer.",Andy Howell
 Mahershala Ali switches gears with ease from playing a hardened drug dealer in Moonlight to portraying a refined artist with great dignity and many secrets in this heart-warming crowd-pleaser. ,Dwight Brown
" The success of these moments, of the entire film, is the chemistry between Mortensen and Ali and whether it's high comedy or serious drama, theirs is as perfect as can be. ",Erik Anderson
 Peter Farrelly manages to respect the severity of the characters' social context while ensuring that Green Book never steps outside its protagonists' relationship. ,Jake Cole
 Green Book is the type of film that studios just don't make anymore. There hasn't been a film like this in such a long time that it makes Green Book feel wonderfully unique on top of it being the feel-great film of the year. ,Scott Menzel
" Like I said, there's never any doubt where Green Book is heading, and director Farrelly - who shares script credit with Tony's son Nick and Brian Hayes Currie - makes sure it gets there as smoothly as possible.",Norman Wilner
" A film that's remarkably conventional and shallow in its treatment of racism, but also an undeniable showcase for two great performers.",Brian Tallerico
 Mahershala Ali and Viggo Mortensen put on a hell of a show.,Victor Stiff
" Green Book is full of humor, heart, and irresistible charm. ",Ashley Menzel
" ""Green Book"" is ""safe entertainment,"" but it's such a smoothly delivered film that it should be considered a highlight of the Hollywood movie year. It's also one of the funniest movies to come around in a long time.",Jordan Ruimy
 Distinctive and amusing turns by Viggo Mortensen and Mahershala Ali make Peter Farrelly's first solo feature outing a lively and likable diversion.,Todd McCarthy
" There's clearly a more nuanced drama to be made from this story but given the scale, there's still a lot here to praise.",Benjamin Lee
" Mortensen's role may be the showier of the two, but Ali is a marvel to watch in his musical performances.",Peter Debruge
" A touching and meaningful look at race and class in America, the likes of which studios rarely produce anymore.",Eric Kohn
 ,Christopher Lloyd
